sentence1,sentence2,label
《光逝》的Id是？,光逝的豆瓣id,1
《光逝》的Id是？,光逝的作者,0
《光逝》的Id是？,光逝的同类推荐,0
《光逝》的Id是？,光逝的ISBN,0
《光逝》的Id是？,光逝的出版日期,0
《The End of Eternity》什么时间出版的,The End of Eternity的出版日期,1
《The End of Eternity》什么时间出版的,The End of Eternity的作者,0
《The End of Eternity》什么时间出版的,The End of Eternity的同类推荐,0
《The End of Eternity》什么时间出版的,The End of Eternity的豆瓣id,0
《The End of Eternity》什么时间出版的,The End of Eternity的ISBN,0
《《凌渡宇(共3册)》》的tag,《凌渡宇(共3册)》的标签,1
《《凌渡宇(共3册)》》的tag,《凌渡宇(共3册)》的作者,0
《《凌渡宇(共3册)》》的tag,《凌渡宇(共3册)》的同类推荐,0
《《凌渡宇(共3册)》》的tag,《凌渡宇(共3册)》的豆瓣id,0
《《凌渡宇(共3册)》》的tag,《凌渡宇(共3册)》的ISBN,0
谁创作了《玩具修理者》,玩具修理者的作者,1
谁创作了《玩具修理者》,玩具修理者的同类推荐,0
谁创作了《玩具修理者》,玩具修理者的豆瓣id,0
谁创作了《玩具修理者》,玩具修理者的ISBN,0
谁创作了《玩具修理者》,玩具修理者的出版日期,0
《平面国》的属性,平面国的标签,1
《平面国》的属性,平面国的最新作品,0
《平面国》的属性,平面国的作者,0
《平面国》的属性,平面国的同类推荐,0
《平面国》的属性,平面国的豆瓣id,0
《计算中的上帝》的出版日期,计算中的上帝的出版日期,1
《计算中的上帝》的出版日期,计算中的上帝的代表作品,0
《计算中的上帝》的出版日期,计算中的上帝的作者,0
《计算中的上帝》的出版日期,计算中的上帝的同类推荐,0
《计算中的上帝》的出版日期,计算中的上帝的豆瓣id,0
《克苏鲁神话Ⅲ》在豆瓣上几分？,克苏鲁神话Ⅲ的评分,1
《克苏鲁神话Ⅲ》在豆瓣上几分？,克苏鲁神话Ⅲ的作者,0
《克苏鲁神话Ⅲ》在豆瓣上几分？,克苏鲁神话Ⅲ的同类推荐,0
《克苏鲁神话Ⅲ》在豆瓣上几分？,克苏鲁神话Ⅲ的豆瓣id,0
《克苏鲁神话Ⅲ》在豆瓣上几分？,克苏鲁神话Ⅲ的ISBN,0
《龙与地下铁》的作者是谁,龙与地下铁的作者,1
《龙与地下铁》的作者是谁,龙与地下铁的同类推荐,0
《龙与地下铁》的作者是谁,龙与地下铁的豆瓣id,0
《龙与地下铁》的作者是谁,龙与地下铁的ISBN,0
《龙与地下铁》的作者是谁,龙与地下铁的出版日期,0
《雪国列车》怎么样？,雪国列车的评分,1
《雪国列车》怎么样？,雪国列车的作者,0
《雪国列车》怎么样？,雪国列车的同类推荐,0
《雪国列车》怎么样？,雪国列车的豆瓣id,0
《雪国列车》怎么样？,雪国列车的ISBN,0
《光逝》几分,光逝的评分,1
《光逝》几分,光逝的作者,0
《光逝》几分,光逝的同类推荐,0
《光逝》几分,光逝的豆瓣id,0
《光逝》几分,光逝的ISBN,0
《降临》的豆瓣评分,降临的评分,1
《降临》的豆瓣评分,降临的作者,0
《降临》的豆瓣评分,降临的同类推荐,0
